send	data	#1,	winSize = 1
recv	ack	#1,	sack	#1
send	data	#2,	winSize = 2
send	data	#3,	winSize = 2
recv	ack	#2,	sack	#2
send	data	#4,	winSize = 2
recv	ack	#3,	sack	#3
send	data	#5,	winSize = 3
send	data	#6,	winSize = 3
recv	ack	#3,	sack	#3
recv	ack	#3,	sack	#6
send	data	#7,	winSize = 3
recv	ack	#3,	sack	#3
resnd	data	#4,	winSize = 3
recv	ack	#4,	sack	#4
send	data	#8,	winSize = 3
recv	ack	#4,	sack	#4
time	out,	threshold = 2,	winSize = 3
resnd	data	#5,	winSize = 1
recv	ack	#6,	sack	#5
resnd	data	#7,	winSize = 2
resnd	data	#8,	winSize = 2
recv	ack	#7,	sack	#7
send	data	#9,	winSize = 2
recv	ack	#8,	sack	#8
send	data	#10,	winSize = 3
send	data	#11,	winSize = 3
recv	ack	#9,	sack	#9
send	data	#12,	winSize = 3
recv	ack	#10,	sack	#10
send	data	#13,	winSize = 3
recv	ack	#11,	sack	#11
send	data	#14,	winSize = 4
send	data	#15,	winSize = 4
recv	ack	#11,	sack	#11
recv	ack	#11,	sack	#13
send	data	#16,	winSize = 4
recv	ack	#11,	sack	#11
resnd	data	#12,	winSize = 4
recv	ack	#11,	sack	#16
send	data	#17,	winSize = 4
recv	ack	#13,	sack	#12
send	data	#18,	winSize = 4
recv	ack	#13,	sack	#17
send	data	#19,	winSize = 4
recv	ack	#13,	sack	#18
send	data	#20,	winSize = 4
recv	ack	#13,	sack	#13
time	out,	threshold = 1,	winSize = 4
resnd	data	#14,	winSize = 1
recv	ack	#14,	sack	#14
resnd	data	#15,	winSize = 2
resnd	data	#19,	winSize = 2
recv	ack	#18,	sack	#15
resnd	data	#20,	winSize = 2
recv	ack	#19,	sack	#19
send	data	#21,	winSize = 3
send	data	#22,	winSize = 3
recv	ack	#20,	sack	#20
send	data	#23,	winSize = 3
recv	ack	#21,	sack	#21
send	data	#24,	winSize = 3
recv	ack	#22,	sack	#22
send	data	#25,	winSize = 4
send	data	#26,	winSize = 4
recv	ack	#23,	sack	#23
send	data	#27,	winSize = 4
recv	ack	#23,	sack	#23
recv	ack	#23,	sack	#25
send	data	#28,	winSize = 4
recv	ack	#23,	sack	#26
send	data	#29,	winSize = 4
